Wavelength (nm)	Reflectance
1260	0.6810524
1261	0.5902806
1262	0.4113801
1263	0.1381324
1264	0.0047411
1265	0.220363
1266	0.4734257
1267	0.6222149
1268	0.6948963
1269	0.7208733
1270	0.7112221
1271	0.6623675
1272	0.5546475
1273	0.3534332
1274	0.0837531
1275	0.0246206
1276	0.2690702
1277	0.5021292
1278	0.6350138
1279	0.6995279
1280	0.7211838
1281	0.7087963
1282	0.6574677
1283	0.5470075
1284	0.3440195
1285	0.078492
1286	0.0251786
1287	0.2641946
1288	0.4949485
1289	0.6291307
1290	0.6958959
1291	0.7203228
1292	0.7119759
1293	0.6678541
1294	0.5713769
1295	0.3919082
1296	0.1305895
1297	0.0033
1298	0.1984147
1299	0.4466434
1300	0.6019234
1301	0.6822296
1302	0.7164859
1303	0.7177484
1304	0.6866428
1305	0.6118993
1306	0.4680462
1307	0.2330833
1308	0.0152591
1309	0.0881222
1310	0.343057
1311	0.5387973
1312	0.6489169
1313	0.703081
1314	0.7206309
1315	0.707973
1316	0.660786
1317	0.5626593
1318	0.3853848
1319	0.1340298
1320	0.0010541
1321	0.1717373
1322	0.4167679
1323	0.5799153
1324	0.6688831
1325	0.7107212
1326	0.7200461
1327	0.7005469
1328	0.6458565
1329	0.5380884
1330	0.3507203
1331	0.1029898
1332	0.006437
1333	0.195966
1334	0.4321946
1335	0.5865941
1336	0.6711051
1337	0.7110229
1338	0.7197425
1339	0.7002712
1340	0.6463719
1341	0.5415906
1342	0.3607219
1343	0.1184775
1344	0.0017029
1345	0.1658686
1346	0.4030614
1347	0.5666788
1348	0.6591457
1349	0.7053226
1350	0.7199528
1351	0.7077326
1352	0.6649155
1353	0.5782542
1354	0.4243281
1355	0.1947828
1356	0.0090849
1357	0.0852966
1358	0.3204794
1359	0.5121161
1360	0.6274995
