Wavelength (nm)	Reflectance 
200	0.1188119
201	0.1346422
202	0.1474237
203	0.1567865
204	0.162532
205	0.1645983
206	0.163035
207	0.1579877
208	0.1496924
209	0.1384764
210	0.124764
211	0.1064002
212	0.0864989
213	0.066188
214	0.0467103
215	0.029338
216	0.0154124
217	0.0056341
218	0.0006264
219	0.0006207
220	0.0054393
221	0.0144302
222	0.026826
223	0.04168
224	0.0579984
225	0.0748302
226	0.0912174
227	0.1065883
228	0.1203928
229	0.1322172
230	0.1417704
231	0.1488317
232	0.1533906
233	0.1554174
234	0.1549401
235	0.1520376
236	0.1469106
237	0.1396864
238	0.1305741
239	0.1198276
240	0.1077461
241	0.0948064
242	0.0812669
243	0.0675382
244	0.0540551
245	0.0412614
246	0.0296265
247	0.0195091
248	0.0112575
249	0.0051481
250	0.001368
251	6.2e-06
252	0.001004
253	0.0042542
254	0.0095667
255	0.0166843
256	0.0252481
257	0.0349699
258	0.0455145
259	0.0565531
260	0.0677752
261	0.0788672
262	0.0896127
263	0.0997974
264	0.1092427
265	0.1178021
266	0.1253286
267	0.1317827
268	0.1371027
269	0.1412484
270	0.1441981
271	0.1459508
272	0.146519
273	0.1459243
274	0.1441997
275	0.1413889
276	0.1375915
277	0.1328386
278	0.1272026
279	0.1207654
280	0.1136185
281	0.1058627
282	0.0976081
283	0.0889728
284	0.0800827
285	0.0710699
286	0.0621432
287	0.0533647
288	0.0448708
289	0.0367955
290	0.0292671
291	0.0224053
292	0.0163186
293	0.0111012
294	0.0068307
295	0.0035655
296	0.0013574
297	0.0001953
298	7.71e-05
299	0.000981
300	0.0028674
301	0.0056803
302	0.0093496
303	0.0137943
304	0.0189244
305	0.0246437
306	0.03083
307	0.0374038
308	0.0442671
309	0.0513246
310	0.0584852
311	0.0656393
312	0.0727332
313	0.079695
314	0.0864599
315	0.0929698
316	0.0991738
317	0.1050274
318	0.1104927
319	0.1155377
320	0.1201358
321	0.1242573
322	0.1278983
323	0.1310467
324	0.1336942
325	0.135836
326	0.1374729
327	0.1386082
328	0.1392457
329	0.1393917
330	0.1390548
331	0.1382456
332	0.1369766
333	0.1352625
334	0.1331193
335	0.1305651
336	0.1276409
337	0.1243494
338	0.1207133
339	0.1167565
340	0.1125046
341	0.1079848
342	0.1032252
343	0.0982556
344	0.093107
345	0.0878113
346	0.0824017
347	0.0769121
348	0.071377
349	0.0658317
350	0.0603112
351	0.0548793
352	0.0495412
353	0.0443312
354	0.0392825
355	0.0344275
356	0.0297972
357	0.0254206
358	0.0213253
359	0.0175364
360	0.0140766
361	0.0109661
362	0.008222
363	0.0058586
364	0.0038871
365	0.0023153
366	0.0011527
367	0.0003923
368	3.26e-05
369	6.92e-05
370	0.0004947
371	0.0012994
372	0.0024707
373	0.0039941
374	0.0058528
375	0.0080284
376	0.0104889
377	0.0132228
378	0.0162084
379	0.0194232
380	0.0228439
381	0.0264476
382	0.0302108
