Wavelength (nm)	Reflectance
500	0.4804392
501	0.4603008
502	0.4349334
503	0.4044734
504	0.3694238
505	0.33194
506	0.2976295
507	0.2694453
508	0.2500507
509	0.2322431
510	0.2230396
511	0.2258213
512	0.2416558
513	0.2724487
514	0.3103249
515	0.3499671
516	0.3886233
517	0.4244824
518	0.4573334
519	0.4866561
520	0.5120209
521	0.5331832
522	0.549189
523	0.561011
524	0.5687802
525	0.5725957
526	0.5745127
527	0.5737955
528	0.5693486
529	0.5609832
530	0.5475651
531	0.5254623
532	0.4987018
533	0.467136
534	0.4307794
535	0.3898272
536	0.3459999
537	0.3012045
538	0.2577471
539	0.2185089
540	0.1836985
541	0.1567385
542	0.140865
543	0.1383695
544	0.1506715
545	0.1775134
546	0.213484
547	0.2550978
548	0.299097
549	0.3432866
550	0.3884694
551	0.4332537
552	0.4761889
553	0.5163099
554	0.5459547
555	0.5647126
556	0.5793245
557	0.5902251
558	0.5977664
559	0.6067384
560	0.6170241
561	0.6247986
562	0.6301455
563	0.6331157
564	0.6310521
565	0.6232417
566	0.6128398
567	0.5997344
568	0.583784
569	0.5661201
570	0.5486386
571	0.5277906
572	0.503303
573	0.474901
574	0.4423385
575	0.4050173
576	0.3637805
577	0.3190726
578	0.2717853
579	0.2233958
580	0.1764864
581	0.1351979
582	0.1026336
583	0.0813962
584	0.0731633
585	0.0779259
586	0.0933964
587	0.1195907
588	0.1542304
589	0.1946753
590	0.23834
591	0.2828427
592	0.3268989
593	0.3693782
594	0.4093895
595	0.4464015
596	0.4801592
597	0.5101449
598	0.5369091
599	0.5606346
600	0.5815109
601	0.5997411
602	0.6153275
603	0.6276294
604	0.6378744
605	0.6462111
606	0.652765
607	0.6576381
608	0.6609728
609	0.6629568
610	0.6634434
611	0.6624516
612	0.6599819
613	0.6560156
614	0.6506669
615	0.6442609
616	0.636283
617	0.6266482
618	0.6152539
619	0.6019807
620	0.5865363
621	0.5674904
622	0.5460378
623	0.5220254
624	0.496554
625	0.4683199
626	0.4372129
627	0.4040589
628	0.3683174
629	0.3300516
630	0.289934
631	0.2484548
632	0.2064024
633	0.1651325
634	0.1262859
635	0.091553
636	0.0628532
637	0.0420067
638	0.0303968
639	0.0289176
640	0.038022
641	0.0569048
642	0.0842544
643	0.1186531
644	0.1579789
645	0.2000896
646	0.2431579
647	0.285655
648	0.3269283
649	0.3662658
650	0.4025994
651	0.4362336
652	0.4671647
653	0.4952734
654	0.5207134
655	0.5437935
656	0.5646449
657	0.5831281
658	0.5997507
659	0.6146496
660	0.6281732
661	0.6403592
662	0.6511116
663	0.6605369
664	0.6688173
665	0.6759511
666	0.6820095
667	0.6870388
668	0.691099
669	0.6942566
670	0.6965452
671	0.6978935
672	0.698402
673	0.6981004
674	0.6969532
675	0.6948485
676	0.6919405
677	0.6882131
678	0.6838079
679	0.6787153
680	0.6727529
681	0.665882
682	0.6578842
683	0.6488535
684	0.6387813
685	0.6276131
686	0.6155298
687	0.6022114
688	0.5875801
689	0.5715192
690	0.5538513
691	0.5346152
692	0.5137324
693	0.4911558
694	0.4668386
695	0.4407032
696	0.4127461
697	0.3829188
698	0.3512966
699	0.3181522
700	0.2837581
701	0.2486954
702	0.21344
703	0.1784584
704	0.1445026
705	0.1124689
706	0.0833032
707	0.0579473
708	0.0373227
709	0.0221043
710	0.0130918
711	0.0108273
712	0.015387
713	0.0263051
714	0.0427158
715	0.0640675
716	0.0895415
717	0.1180039
718	0.1483099
719	0.1801096
720	0.2126988
721	0.245539
722	0.2783325
723	0.3103573
724	0.3413007
725	0.3709387
726	0.3994703
727	0.4264464
728	0.4518128
729	0.4755689
730	0.4972876
731	0.5173337
732	0.5359593
733	0.5532308
734	0.5692615
735	0.5841662
736	0.5979538
737	0.6106899
738	0.622441
739	0.6333957
740	0.6434395
741	0.6526293
742	0.6610181
743	0.6686194
744	0.6754845
745	0.6816773
746	0.6872346
747	0.6922055
748	0.6967031
749	0.7006447
750	0.7040545
751	0.7069541
752	0.7093886
753	0.7113847
754	0.7129425
755	0.7140726
756	0.7147801
757	0.7149268
758	0.7146803
759	0.7140427
760	0.7130141
761	0.7116331
762	0.7099251
763	0.7078254
764	0.7053281
765	0.7024256
766	0.6991454
767	0.6954656
768	0.6913594
769	0.686813
770	0.681811
771	0.6760489
772	0.669742
773	0.6628847
774	0.6554519
775	0.6474006
776	0.6385801
777	0.6290646
778	0.6188187
779	0.6078052
780	0.596039
781	0.5836121
782	0.57034
783	0.5561846
784	0.5411089
785	0.5250767
786	0.5080476
787	0.4899892
788	0.4708778
789	0.4506981
790	0.4295357
791	0.4075202
792	0.3844923
793	0.3604987
794	0.3356092
795	0.3097655
796	0.2828016
797	0.2553358
798	0.2275917
799	0.1998385
800	0.1723271
801	0.1450635
802	0.1188982
803	0.0942839
804	0.0716917
805	0.0515933
806	0.0351351
807	0.0217552
808	0.011701
809	0.0052015
810	0.0024021
811	0.0032954
812	0.0076445
813	0.0153148
814	0.0261149
815	0.0397922
816	0.056276
817	0.0755573
818	0.0968576
819	0.119778
820	0.1439294
821	0.168945
822	0.1949432
823	0.2212004
824	0.2474104
825	0.2733392
826	0.2987939
827	0.3234716
828	0.3472475
829	0.3702066
830	0.3922874
831	0.4134501
832	0.4336726
833	0.4529474
834	0.4712788
835	0.48868
836	0.5051715
837	0.520779
838	0.5355312
839	0.5494615
840	0.5626026
841	0.5749887
842	0.5866541
843	0.5976328
844	0.6079578
845	0.6176615
846	0.6267748
847	0.6353272
848	0.6433471
849	0.6508611
850	0.6578945
851	0.664471
852	0.670613
853	0.676341
854	0.6816752
855	0.6866333
856	0.6912323
857	0.6954878
858	0.6994144
859	0.7030254
860	0.7063332
861	0.7093491
862	0.7120834
863	0.7145457
864	0.7167446
865	0.7186878
866	0.7203823
867	0.7218344
868	0.7230496
869	0.7240328
870	0.724788
871	0.725319
872	0.7256285
873	0.7257189
874	0.7255919
875	0.7252487
876	0.72469
877	0.7239156
878	0.7229253
879	0.7217179
880	0.7202919
881	0.7186453
882	0.7167753
883	0.7146789
884	0.7123523
885	0.7097915
886	0.7070499
887	0.7041684
888	0.7010616
889	0.6977242
890	0.6941502
891	0.6903333
892	0.6862667
893	0.6819432
894	0.6773548
895	0.6724934
896	0.6673501
897	0.6619157
898	0.6561805
899	0.6501342
900	0.6437664
901	0.6370653
902	0.6300197
903	0.6226175
904	0.6148463
905	0.6066934
906	0.5981458
907	0.5891903
908	0.5798136
909	0.5700024
910	0.5597434
911	0.5490237
912	0.5378308
913	0.5261529
914	0.5139789
915	0.501299
916	0.4881055
917	0.4743907
918	0.4601508
919	0.4453842
920	0.4300926
921	0.4142813
922	0.3979599
923	0.3811432
924	0.3638516
925	0.3461119
926	0.3279579
927	0.3094316
928	0.2905832
929	0.2714725
930	0.2521688
931	0.2327518
932	0.2133124
933	0.1939495
934	0.1747748
935	0.1559088
936	0.1374812
937	0.1196286
938	0.1024939
939	0.0862233
940	0.0709644
941	0.056863
942	0.0440599
943	0.032688
944	0.0228688
945	0.0147091
946	0.008298
947	0.003705
948	0.0009766
949	0.0001368
950	0.0011851
951	0.0040971
952	0.0088254
953	0.0153012
954	0.0233722
955	0.0327993
956	0.0435969
957	0.0556466
958	0.0688198
959	0.0829887
960	0.0980189
961	0.113783
962	0.1301502
963	0.1470015
964	0.1642172
965	0.1816922
966	0.1993223
967	0.2170193
968	0.2346964
969	0.2522832
970	0.2697106
971	0.2869233
972	0.3038741
973	0.3205178
974	0.3368229
975	0.3527578
976	0.3683029
977	0.3834374
978	0.3981514
979	0.4124329
980	0.4262794
981	0.4396856
982	0.4526544
983	0.4651858
984	0.4772866
985	0.4889603
986	0.5002154
987	0.5110613
988	0.5215049
989	0.531558
990	0.5412289
991	0.5505302
992	0.5594706
993	0.5680629
994	0.5763163
995	0.5842434
996	0.5918531
997	0.5991577
998	0.6061661
999	0.6128898
1000	0.6193374
