Wavelength (nm)	Reflectance
500	0.1170705
501	0.1148187
502	0.1124335
503	0.1099216
504	0.1072902
505	0.1045466
506	0.1016718
507	0.0986992
508	0.095637
509	0.0924939
510	0.089278
511	0.0859985
512	0.0826644
513	0.0792847
514	0.0758688
515	0.0724262
516	0.068995
517	0.0655559
518	0.0621182
519	0.0586913
520	0.0552849
521	0.0518808
522	0.0485168
523	0.0452022
524	0.0419464
525	0.0387586
526	0.0356716
527	0.0326685
528	0.0297574
529	0.0269463
530	0.0242429
531	0.0216543
532	0.0191874
533	0.0168488
534	0.0146443
535	0.0125796
536	0.0106455
537	0.0088632
538	0.0072367
539	0.0057695
540	0.0044648
541	0.0033328
542	0.0023647
543	0.001562
544	0.0009253
545	0.0004548
546	0.0001501
547	1.02e-05
548	3.39e-05
549	0.000219
550	0.0005632
551	0.0010637
552	0.0017172
553	0.0025199
554	0.0034677
555	0.0045563
556	0.0057807
557	0.007136
558	0.0086169
559	0.0102177
560	0.0119328
561	0.0137561
562	0.0156815
563	0.0177029
564	0.0198139
565	0.0220081
566	0.0242792
567	0.0266208
568	0.0290264
569	0.0314896
570	0.0340042
571	0.0365639
572	0.0391623
573	0.0417938
574	0.0444522
575	0.0471317
576	0.0498267
577	0.0525317
578	0.0552412
579	0.0579502
580	0.0606536
581	0.0633301
582	0.065992
583	0.0686351
584	0.0712551
585	0.0738482
586	0.0764254
587	0.0789672
588	0.0814703
589	0.0839314
590	0.0863471
591	0.0887147
592	0.0910312
593	0.093294
594	0.0955008
595	0.0976492
596	0.0997371
597	0.1017625
598	0.1037236
599	0.1056188
600	0.1074465
601	0.1091986
602	0.1108819
603	0.1124952
604	0.1140376
605	0.1155082
606	0.1169096
607	0.1182364
608	0.119488
609	0.120664
610	0.1217639
611	0.1227876
612	0.123736
613	0.1246092
614	0.1254071
615	0.1261298
616	0.126774
617	0.127342
618	0.127834
619	0.1282502
620	0.1285912
621	0.1288574
622	0.1290492
623	0.1291673
624	0.1292123
625	0.1291848
626	0.1290952
627	0.1289357
628	0.1287073
629	0.1284108
630	0.1280469
631	0.1276168
632	0.1271212
633	0.1265613
634	0.125938
635	0.1252525
636	0.1244908
637	0.1236681
638	0.1227857
639	0.1218448
640	0.1208466
641	0.1198099
642	0.1187194
643	0.1175765
644	0.1163827
645	0.1151392
646	0.1138284
647	0.1124702
648	0.111066
649	0.1096176
650	0.1081265
651	0.1066149
652	0.1050644
653	0.1034765
654	0.1018529
655	0.1001952
656	0.0985051
657	0.0967842
658	0.0950343
659	0.0932572
660	0.0914545
661	0.0896053
662	0.0877338
663	0.085842
664	0.0839317
665	0.0820048
666	0.0800862
667	0.0781546
668	0.076212
669	0.0742602
670	0.072301
671	0.0703363
672	0.068368
673	0.0663978
674	0.0644277
675	0.0624594
676	0.0604949
677	0.0585358
678	0.0565842
679	0.0546416
680	0.05271
681	0.0507699
682	0.0488446
683	0.0469361
684	0.0450461
685	0.0431763
686	0.0413485
687	0.0395438
688	0.0377636
689	0.0360096
690	0.0342834
691	0.0325865
692	0.0309203
693	0.0292863
694	0.0276859
695	0.0261205
696	0.0245913
697	0.0230997
698	0.0216469
699	0.0202339
700	0.0188621
701	0.0175324
702	0.0162459
703	0.0150035
704	0.0138063
705	0.012655
706	0.0115505
707	0.0104935
708	0.0094847
709	0.0085249
710	0.0076145
711	0.0067541
712	0.0059442
713	0.0051852
714	0.0044775
715	0.0038213
716	0.0032169
717	0.0026645
718	0.0021642
719	0.0017161
720	0.0013202
721	0.0009748
722	0.0006821
723	0.0004419
724	0.0002539
725	0.0001179
726	3.35e-05
727	5e-07
728	1.85e-05
729	8.69e-05
730	0.0002053
731	0.0003721
732	0.0005874
733	0.0008504
734	0.0011605
735	0.001517
736	0.0019192
737	0.0023664
738	0.0028576
739	0.0033922
740	0.0039692
741	0.0045878
742	0.0052471
743	0.0059461
744	0.0066839
745	0.0074595
746	0.008272
747	0.0091203
748	0.0100033
749	0.0109201
750	0.0118697
751	0.0128509
752	0.0138626
753	0.0149039
754	0.0159736
755	0.0170707
756	0.018194
757	0.0193424
758	0.0205149
759	0.0217104
760	0.0229278
761	0.0241604
762	0.0254126
763	0.0266834
764	0.0279717
765	0.0292764
766	0.0305965
767	0.031931
768	0.0332789
769	0.0346391
770	0.0360107
771	0.0373986
772	0.0387959
773	0.0402017
774	0.0416149
775	0.0430346
776	0.0444601
777	0.0458902
778	0.0473241
779	0.048761
780	0.0501999
781	0.0516401
782	0.0530806
783	0.0545207
784	0.0559596
785	0.0573965
786	0.0588306
787	0.0602612
788	0.0616876
789	0.0631091
790	0.064525
791	0.0659345
792	0.0673372
793	0.0687323
794	0.0701192
795	0.0714974
796	0.0728662
797	0.0742251
798	0.0755735
799	0.0769109
800	0.0782369
801	0.0795508
802	0.0808523
803	0.0821409
804	0.0834161
805	0.0846775
806	0.0859247
807	0.0871573
808	0.0883749
809	0.0895772
810	0.0907639
811	0.0919312
812	0.0930824
813	0.0942173
814	0.0953354
815	0.0964365
816	0.0975204
817	0.0985869
818	0.0996355
819	0.1006663
820	0.1016788
821	0.102675
822	0.1036523
823	0.1046107
824	0.1055499
825	0.1064698
826	0.1073702
827	0.1082509
828	0.109112
829	0.1099532
830	0.1107744
831	0.1115748
832	0.1123554
833	0.1131159
834	0.1138565
835	0.1145769
836	0.1152771
837	0.1159572
838	0.1166169
839	0.1172564
840	0.1178756
841	0.1184738
842	0.1190514
843	0.1196085
844	0.1201449
845	0.1206607
846	0.1211559
847	0.1216306
848	0.1220847
849	0.1225184
850	0.1229316
851	0.1233243
852	0.1236967
853	0.1240488
854	0.1243807
855	0.1246923
856	0.1249839
857	0.1252554
858	0.1255069
859	0.1257385
860	0.1259504
861	0.1261457
862	0.1263216
863	0.1264782
864	0.1266157
865	0.1267341
866	0.1268335
867	0.126914
868	0.1269759
869	0.127019
870	0.1270437
871	0.1270457
872	0.1270293
873	0.1269945
874	0.1269415
875	0.1268704
876	0.1267814
877	0.1266745
878	0.1265501
879	0.1264081
880	0.1262488
881	0.1260776
882	0.1258896
883	0.1256849
884	0.1254636
885	0.125226
886	0.1249721
887	0.1247022
888	0.1244164
