Wavelength (nm)	Transmittance
200	0.8811881
201	0.8653578
202	0.8525763
203	0.8432135
204	0.837468
205	0.8354017
206	0.836965
207	0.8420123
208	0.8503076
209	0.8615236
210	0.875236
211	0.8935998
212	0.9135011
213	0.933812
214	0.9532897
215	0.970662
216	0.9845876
217	0.9943659
218	0.9993736
219	0.9993793
220	0.9945607
221	0.9855698
222	0.973174
223	0.95832
224	0.9420016
225	0.9251698
226	0.9087826
227	0.8934117
228	0.8796072
229	0.8677828
230	0.8582296
231	0.8511683
232	0.8466094
233	0.8445826
234	0.8450599
235	0.8479624
236	0.8530894
237	0.8603136
238	0.8694259
239	0.8801724
240	0.8922539
241	0.9051936
242	0.9187331
243	0.9324618
244	0.9459449
245	0.9587386
246	0.9703735
247	0.9804909
248	0.9887425
249	0.9948519
250	0.998632
251	0.9999938
252	0.998996
253	0.9957458
254	0.9904333
255	0.9833157
256	0.9747519
257	0.9650301
258	0.9544855
259	0.9434469
260	0.9322248
261	0.9211328
262	0.9103873
263	0.9002026
264	0.8907573
265	0.8821979
266	0.8746714
267	0.8682173
268	0.8628973
269	0.8587516
270	0.8558019
271	0.8540492
272	0.853481
273	0.8540757
274	0.8558003
275	0.8586111
276	0.8624085
277	0.8671614
278	0.8727974
279	0.8792346
280	0.8863815
281	0.8941373
282	0.9023919
283	0.9110272
284	0.9199173
285	0.9289301
286	0.9378568
287	0.9466353
288	0.9551292
289	0.9632045
290	0.9707329
291	0.9775947
292	0.9836814
293	0.9888988
294	0.9931693
295	0.9964345
296	0.9986426
297	0.9998047
298	0.9999229
299	0.999019
300	0.9971326
301	0.9943197
302	0.9906504
303	0.9862057
304	0.9810756
305	0.9753563
306	0.96917
307	0.9625962
308	0.9557329
309	0.9486754
310	0.9415148
311	0.9343607
312	0.9272668
313	0.920305
314	0.9135401
315	0.9070302
316	0.9008262
317	0.8949726
318	0.8895073
319	0.8844623
320	0.8798642
321	0.8757427
322	0.8721017
323	0.8689533
324	0.8663058
325	0.864164
326	0.8625271
327	0.8613918
328	0.8607543
329	0.8606083
330	0.8609452
331	0.8617544
332	0.8630234
333	0.8647375
334	0.8668807
335	0.8694349
336	0.8723591
337	0.8756506
338	0.8792867
339	0.8832435
340	0.8874954
341	0.8920152
342	0.8967748
343	0.9017444
344	0.906893
345	0.9121887
346	0.9175983
347	0.9230879
348	0.928623
349	0.9341683
350	0.9396888
351	0.9451207
352	0.9504588
353	0.9556688
354	0.9607175
355	0.9655725
356	0.9702028
357	0.9745794
358	0.9786747
359	0.9824636
360	0.9859234
361	0.9890339
362	0.991778
363	0.9941414
364	0.9961129
365	0.9976847
366	0.9988473
367	0.9996077
368	0.9999674
369	0.9999308
370	0.9995053
371	0.9987006
372	0.9975293
373	0.9960059
374	0.9941472
375	0.9919716
376	0.9895111
377	0.9867772
378	0.9837916
379	0.9805768
380	0.9771561
381	0.9735524
382	0.9697892
383	0.9658898
384	0.9618769
385	0.957773
386	0.9535999
387	0.9493788
388	0.9451299
389	0.9408726
390	0.9366252
391	0.9324053
392	0.9282294
393	0.9241126
394	0.9200695
395	0.9161132
396	0.9122562
397	0.9085094
398	0.9048832
399	0.901387
400	0.898029
401	0.8948265
402	0.8917746
403	0.8888791
404	0.8861448
405	0.8835762
406	0.881177
407	0.87895
408	0.876898
409	0.8750226
410	0.8733253
411	0.8718071
412	0.8704682
413	0.8693088
414	0.8683284
415	0.8675263
416	0.8669014
417	0.8664522
418	0.866177
419	0.8660737
420	0.86614
421	0.8663733
422	0.8667708
423	0.8673294
424	0.8680459
425	0.8689166
426	0.8699235
427	0.8710756
428	0.8723687
429	0.8737988
430	0.8753614
431	0.877052
432	0.8788658
433	0.880798
434	0.8828436
435	0.8849973
436	0.8872746
437	0.8896503
438	0.8921185
439	0.8946735
440	0.8973094
441	0.8999749
442	0.902708
443	0.9055025
444	0.9083525
445	0.9112517
446	0.9142173
447	0.9172195
448	0.920252
449	0.923308
450	0.9263809
451	0.9294644
452	0.9325517
453	0.9356362
454	0.9387114
455	0.9417707
456	0.9448077
457	0.9478159
458	0.950789
459	0.9537209
460	0.9566054
461	0.9594165
462	0.9621695
463	0.964859
464	0.9674794
465	0.9700257
466	0.9725098
467	0.9749089
468	0.977218
469	0.9794331
470	0.9815498
471	0.9835511
472	0.9854483
473	0.9872384
474	0.9889183
475	0.9904857
476	0.9919381
477	0.9932736
478	0.9944905
479	0.9955874
480	0.9965634
481	0.9974175
482	0.9981496
483	0.9987592
484	0.9992467
485	0.9996125
486	0.9998573
487	0.9999821
488	0.9999881
489	0.9998769
490	0.9996503
491	0.9993102
492	0.9988588
493	0.9982987
494	0.9976322
495	0.9968624
496	0.995992
497	0.9950242
498	0.9939623
499	0.9928096
500	0.9915695
501	0.9902542
502	0.9888596
503	0.9873894
504	0.9858474
505	0.9842371
506	0.9825521
507	0.9808058
508	0.9790022
509	0.9771452
510	0.9752385
511	0.9732859
512	0.9712914
513	0.9692587
514	0.9671915
515	0.9650934
516	0.9629803
517	0.9608435
518	0.9586865
519	0.9565127
520	0.9543252
521	0.9521151
522	0.9498978
523	0.9476763
524	0.9454536
525	0.9432327
526	0.9410276
527	0.9388292
528	0.9366401
529	0.9344627
530	0.9322994
531	0.9301525
532	0.9280239
533	0.9259159
534	0.9238304
535	0.9217693
536	0.9197252
537	0.9177096
538	0.9157241
539	0.9137702
540	0.9118496
541	0.9099708
542	0.9081272
543	0.9063199
544	0.90455
545	0.9028185
546	0.9011266
547	0.899475
548	0.8978647
549	0.8962963
550	0.8947707
551	0.8932884
552	0.8918501
553	0.8904563
554	0.8891075
555	0.8878041
556	0.8865466
557	0.8853351
558	0.8841701
559	0.8830518
560	0.8819804
561	0.8809559
562	0.8799786
563	0.8790486
564	0.8781658
565	0.8773303
566	0.876542
567	0.875801
568	0.875107
569	0.87446
570	0.8738599
571	0.8733064
572	0.8727994
573	0.8723386
574	0.8719239
575	0.8715548
576	0.8712311
577	0.8709526
578	0.8707189
579	0.8705295
580	0.8703843
581	0.8702748
582	0.870208
583	0.8701833
584	0.8702003
585	0.8702587
586	0.8703674
587	0.8705171
588	0.8707074
589	0.8709376
590	0.8712074
591	0.8715162
592	0.8718633
593	0.8722484
594	0.8726708
595	0.87313
596	0.8736253
597	0.8741562
598	0.8747221
599	0.8753224
600	0.8759564
601	0.8766099
602	0.8772955
603	0.8780124
604	0.8787602
605	0.8795381
606	0.8803603
607	0.8812118
608	0.8820919
609	0.8829999
610	0.8839351
611	0.8848813
612	0.8858529
613	0.8868495
614	0.8878702
615	0.8889144
616	0.8899978
617	0.8911036
618	0.8922311
619	0.8933794
620	0.894548
621	0.8957361
622	0.8969429
623	0.8981678
624	0.8994099
625	0.9006686
626	0.9019256
627	0.9031975
628	0.9044837
629	0.9057834
630	0.9070958
631	0.9084203
632	0.9097561
633	0.9111025
634	0.9124587
635	0.9138242
636	0.9152159
637	0.9166153
638	0.9180216
639	0.9194342
640	0.9208522
641	0.9222574
642	0.9236666
643	0.9250792
644	0.9264944
645	0.9279117
646	0.9293477
647	0.9307841
648	0.9322203
649	0.9336555
650	0.935089
651	0.9365031
652	0.9379144
653	0.9393222
654	0.9407258
655	0.9421246
656	0.9435179
657	0.9449051
658	0.9462855
659	0.9476586
660	0.9490237
661	0.9503959
662	0.9517587
663	0.9531113
664	0.9544532
665	0.9557838
666	0.9570875
667	0.9583793
668	0.9596584
669	0.9609243
670	0.9621766
671	0.9634147
672	0.9646381
673	0.9658463
674	0.9670389
675	0.9682153
676	0.9693751
677	0.970518
678	0.9716433
679	0.9727508
680	0.97384
681	0.9749222
682	0.9759849
683	0.9770277
684	0.9780502
685	0.9790521
686	0.9800226
687	0.9809724
688	0.981901
689	0.9828083
690	0.983694
691	0.9845578
692	0.9853995
693	0.9862189
694	0.9870156
695	0.9877896
696	0.9885405
697	0.9892684
698	0.9899729
699	0.9906539
700	0.9913114
701	0.9919452
702	0.9925551
703	0.9931411
704	0.9937031
705	0.994241
706	0.9947548
707	0.9952444
708	0.9957098
709	0.9961509
710	0.9965679
711	0.9969606
712	0.9973291
713	0.9976734
714	0.9979936
715	0.9982897
716	0.9985618
717	0.99881
718	0.9990343
719	0.9992349
720	0.9994118
721	0.999566
722	0.9996965
723	0.9998035
724	0.9998871
725	0.9999476
726	0.9999851
727	0.9999998
728	0.9999918
729	0.9999614
730	0.9999087
731	0.9998345
732	0.9997387
733	0.9996215
734	0.9994831
735	0.9993239
736	0.999144
737	0.9989437
738	0.9987233
739	0.998483
740	0.998223
741	0.9979437
742	0.9976453
743	0.9973282
744	0.9969925
745	0.9966386
746	0.9962668
747	0.9958773
748	0.9954705
749	0.9950467
750	0.9946062
751	0.9941492
752	0.9936762
753	0.9931874
754	0.9926831
755	0.9921636
756	0.9916293
757	0.9910805
758	0.9905174
759	0.9899406
760	0.9893501
761	0.9887492
762	0.9881354
763	0.9875091
764	0.9868706
765	0.9862203
766	0.9855584
767	0.9848853
768	0.9842013
769	0.9835066
770	0.9828016
771	0.9820836
772	0.9813558
773	0.9806186
774	0.9798722
775	0.9791171
776	0.9783535
777	0.9775817
778	0.9768021
779	0.9760148
780	0.9752203
781	0.9744188
782	0.9736106
783	0.972796
784	0.9719754
785	0.9711489
786	0.9703168
787	0.9694796
788	0.9686373
789	0.9677904
790	0.966939
791	0.9660835
792	0.9652241
793	0.964361
794	0.9634946
795	0.962625
796	0.9617526
797	0.9608776
798	0.9600002
799	0.9591206
800	0.9582392
801	0.9573561
802	0.9564716
803	0.9555859
804	0.9546992
805	0.9538117
806	0.9529238
807	0.9520354
808	0.951147
809	0.9502586
810	0.9493706
811	0.948486
812	0.9476021
813	0.946719
814	0.9458368
815	0.9449559
816	0.9440763
817	0.9431983
818	0.9423219
819	0.9414474
820	0.940575
821	0.939702
822	0.9388315
823	0.9379635
824	0.9370983
825	0.936236
826	0.9353766
827	0.9345205
828	0.9336677
829	0.9328183
830	0.9319725
831	0.9311327
832	0.9302967
833	0.9294645
834	0.9286364
835	0.9278123
836	0.9269925
837	0.926177
838	0.925366
839	0.9245595
840	0.9237576
841	0.9229587
842	0.9221646
843	0.9213756
844	0.9205918
845	0.9198131
846	0.9190397
847	0.9182718
848	0.9175093
849	0.9167523
850	0.916001
851	0.9152553
852	0.9145154
853	0.9137814
854	0.9130533
855	0.9123311
856	0.911615
857	0.9109049
858	0.910201
859	0.9095033
860	0.9088119
861	0.9081275
862	0.9074495
863	0.9067777
864	0.9061122
865	0.9054532
866	0.9048006
867	0.9041544
868	0.9035147
869	0.9028816
870	0.9022551
871	0.9016349
872	0.9010214
873	0.9004147
874	0.8998148
875	0.8992217
876	0.8986355
877	0.8980562
878	0.8974837
879	0.8969182
880	0.8963596
881	0.8958077
882	0.8952626
883	0.8947244
884	0.8941931
885	0.8936688
886	0.8931512
887	0.8926407
888	0.892137
889	0.8916403
890	0.8911504
891	0.8906676
892	0.8901917
893	0.8897227
894	0.8892607
895	0.8888056
896	0.8883575
897	0.8879163
898	0.8874821
899	0.8870548
900	0.8866344
901	0.8862223
902	0.8858173
903	0.8854192
904	0.8850282
905	0.8846441
906	0.8842671
907	0.883897
908	0.8835339
909	0.8831778
910	0.8828286
911	0.8824844
912	0.8821471
913	0.8818166
914	0.8814928
915	0.8811758
916	0.8808656
917	0.8805621
918	0.8802653
919	0.8799752
920	0.8796918
921	0.8794174
922	0.8791497
923	0.8788887
924	0.8786344
925	0.8783868
926	0.8781458
927	0.8779114
928	0.8776837
929	0.8774625
930	0.8772478
931	0.8770369
932	0.8768323
933	0.8766341
934	0.8764423
935	0.8762568
936	0.8760776
937	0.8759047
938	0.875738
939	0.8755775
940	0.8754233
941	0.8752752
942	0.8751332
943	0.8749973
944	0.8748675
945	0.8747438
946	0.8746261
947	0.8745144
948	0.8744086
949	0.8743087
950	0.8742148
951	0.8741304
952	0.8740519
953	0.8739793
954	0.8739126
955	0.8738516
956	0.8737965
957	0.8737471
958	0.8737035
959	0.8736655
960	0.8736332
961	0.8736024
962	0.8735772
963	0.8735574
964	0.8735431
965	0.8735342
966	0.8735307
967	0.8735325
968	0.8735397
969	0.8735521
970	0.8735698
971	0.8735927
972	0.8736208
973	0.873654
974	0.8736924
975	0.8737358
976	0.8737842
977	0.8738377
978	0.8738962
979	0.8739596
980	0.8740279
981	0.8741058
982	0.8741886
983	0.8742763
984	0.8743689
985	0.8744662
986	0.8745682
987	0.8746751
988	0.8747865
989	0.8749027
990	0.8750234
991	0.8751437
992	0.8752685
993	0.8753978
994	0.8755314
995	0.8756695
996	0.8758118
997	0.8759586
998	0.8761095
999	0.8762648
1000	0.8764242
