Wavelength (nm)	Transmittance
500	0.0976061
501	0.1047193
502	0.1132788
503	0.1233897
504	0.1349318
505	0.1397456
506	0.1436947
507	0.1462381
508	0.1469351
509	0.1576769
510	0.168724
511	0.1778115
512	0.1842558
513	0.1803856
514	0.1716443
515	0.1623517
516	0.1531941
517	0.1458385
518	0.1406293
519	0.1360072
520	0.1321466
521	0.1291032
522	0.1263985
523	0.1247623
524	0.1242104
525	0.1247665
526	0.1273546
527	0.1316128
528	0.1372348
529	0.144414
530	0.1529081
531	0.160796
532	0.1703425
533	0.1816203
534	0.1946489
535	0.2076164
536	0.2202387
537	0.2329707
538	0.2450515
539	0.2555587
540	0.2719542
541	0.2865762
542	0.2978552
543	0.3047536
544	0.3052588
545	0.2964155
546	0.2841974
547	0.2698361
548	0.254497
549	0.2436517
550	0.2381764
551	0.2318135
552	0.2251167
553	0.2185417
554	0.2074279
555	0.1939022
556	0.1827569
557	0.1736487
558	0.166297
559	0.1627125
560	0.1621872
561	0.1626521
562	0.1641485
563	0.166733
564	0.1693687
565	0.1718
566	0.1753826
567	0.1801488
568	0.186144
569	0.1940365
570	0.2050992
571	0.2180631
572	0.2331481
573	0.2505876
574	0.2705815
575	0.2917926
576	0.3154104
577	0.3412882
578	0.3690446
579	0.3979788
580	0.4215022
581	0.4392002
582	0.4522638
583	0.4594926
584	0.4601787
585	0.4554314
586	0.4495263
587	0.4382145
588	0.4225678
589	0.4038587
590	0.3833542
591	0.3637427
592	0.3448769
593	0.326374
594	0.308722
595	0.2922385
596	0.2771056
597	0.2633643
598	0.251071
599	0.2401907
600	0.230662
601	0.2224125
602	0.2152783
603	0.2088443
604	0.2035236
605	0.1992424
606	0.1959392
607	0.1935648
608	0.1921077
609	0.1915905
610	0.1919207
611	0.1930975
612	0.1951307
613	0.1980411
614	0.201879
615	0.2067085
616	0.2125142
617	0.2193637
618	0.2273369
619	0.2365253
620	0.2469817
621	0.2583596
622	0.2711952
623	0.2855835
624	0.3021785
625	0.3206353
626	0.3410231
627	0.3634222
628	0.3878176
629	0.4141086
630	0.4422606
631	0.4718859
632	0.5023453
633	0.5324731
634	0.5610796
635	0.5874045
636	0.6101352
637	0.6279701
638	0.639923
639	0.645273
640	0.6424523
641	0.6329268
642	0.6175665
643	0.5963415
644	0.5710745
645	0.5437726
646	0.5158303
647	0.4885239
648	0.4618431
649	0.4362883
650	0.4119543
651	0.3893071
652	0.3684462
653	0.3496516
654	0.3328226
655	0.3175375
656	0.3037183
657	0.2914682
658	0.2804533
659	0.2705876
660	0.2617129
661	0.2537944
662	0.2468379
663	0.2407782
664	0.2356159
665	0.2312322
666	0.2275846
667	0.2246453
668	0.222378
669	0.2207448
670	0.2197278
671	0.2192773
672	0.2194137
673	0.2201405
674	0.2214387
675	0.223243
676	0.2256418
677	0.2286496
678	0.2322932
679	0.2365838
680	0.2415397
681	0.247195
682	0.2533877
683	0.2602755
684	0.2679526
685	0.2764709
686	0.2859834
687	0.2964589
688	0.3079619
689	0.3205482
690	0.334252
691	0.3491805
692	0.3653992
693	0.3830224
694	0.402156
695	0.4227508
696	0.444819
697	0.4684045
698	0.4934592
699	0.519788
700	0.5471909
701	0.5752218
702	0.6035196
703	0.6317328
704	0.6592805
705	0.6852636
706	0.7089706
707	0.7298063
708	0.7470397
709	0.7603268
710	0.7689982
711	0.7724297
712	0.770526
713	0.7634307
714	0.7517772
715	0.7361898
716	0.7172938
717	0.6960772
718	0.6735126
719	0.6496601
720	0.6250717
721	0.6001187
722	0.5748758
723	0.5501602
724	0.5262255
725	0.5032554
726	0.4813056
727	0.4605189
728	0.44094
729	0.4225774
730	0.4055198
731	0.3896635
732	0.3749216
733	0.361244
734	0.34872
735	0.3373389
736	0.3268117
737	0.317091
738	0.3081256
739	0.2996376
740	0.2918638
741	0.2847614
742	0.2782906
743	0.2723713
744	0.2669925
745	0.2621532
746	0.2578248
747	0.2539826
748	0.2506113
749	0.2476882
750	0.2451955
751	0.2431173
752	0.2414769
753	0.2402321
754	0.239347
755	0.2388151
756	0.23863
757	0.2387153
758	0.2391301
759	0.2398738
760	0.2409473
761	0.2423568
762	0.2441043
763	0.2461868
764	0.2486108
765	0.2513843
766	0.2544832
767	0.2579284
768	0.2617454
769	0.2659475
770	0.2705494
771	0.2757037
772	0.2813265
773	0.287431
774	0.29404
775	0.3012059
776	0.3091527
777	0.3177183
778	0.3269356
779	0.3368395
780	0.3473846
781	0.3584172
782	0.3702023
783	0.3827748
784	0.3961695
785	0.4104693
786	0.4257751
787	0.4420173
788	0.4592204
789	0.4774021
790	0.496489
791	0.5163685
792	0.5371885
793	0.5589118
794	0.581481
795	0.6048902
796	0.6291663
797	0.6539345
798	0.6789993
799	0.7041248
800	0.7291239
801	0.7541958
802	0.7783657
803	0.8012288
804	0.8223617
805	0.8413379
806	0.8571053
807	0.8701717
808	0.8803067
809	0.8872934
810	0.8909888
811	0.8911643
812	0.8881336
813	0.8821174
814	0.8732786
815	0.8618356
816	0.8478445
817	0.8313061
818	0.8129138
819	0.7930221
820	0.7719776
821	0.7501088
822	0.7273035
823	0.7042169
824	0.6811259
825	0.658243
826	0.6357443
827	0.613891
828	0.5927987
829	0.5724099
830	0.5527826
831	0.5339554
832	0.5159508
833	0.498778
834	0.4824356
835	0.4669136
836	0.4521957
837	0.4382605
838	0.4250841
839	0.4126377
840	0.4008935
841	0.3898218
842	0.3793929
843	0.3695773
844	0.3603461
845	0.3516712
846	0.3435255
847	0.3358829
848	0.3287188
849	0.3220097
850	0.3157334
851	0.3098689
852	0.3043966
853	0.2992985
854	0.2945569
855	0.2901559
856	0.2860809
857	0.2823179
858	0.2788543
859	0.2756782
860	0.2727789
861	0.2701465
862	0.2677719
863	0.2656468
864	0.2637637
865	0.262116
866	0.2606977
867	0.2595033
868	0.2585282
869	0.2577684
870	0.2572203
871	0.2568812
872	0.2567486
873	0.256821
874	0.2570969
875	0.2575759
876	0.2582577
877	0.2591427
878	0.2602317
879	0.2615261
880	0.2630278
881	0.2647391
882	0.266663
883	0.2688028
884	0.2711624
885	0.2737461
886	0.2764865
887	0.2793358
888	0.2824008
889	0.2856869
890	0.2892002
891	0.2929468
892	0.2969337
893	0.3011681
894	0.3056577
895	0.3104107
896	0.3154359
897	0.3207425
898	0.3263401
899	0.3322389
900	0.3384491
901	0.3449826
902	0.3518504
903	0.3590646
904	0.3666374
905	0.3745816
906	0.3829099
907	0.3916357
908	0.4007721
909	0.4103325
910	0.4203301
911	0.4307779
912	0.4416886
913	0.4530741
914	0.4649457
915	0.4773135
916	0.4901855
917	0.50357
918	0.5174713
919	0.5318915
920	0.54683
921	0.5622822
922	0.5782397
923	0.5946889
924	0.611611
925	0.6289809
926	0.6467664
927	0.6649278
928	0.6834171
929	0.7021773
930	0.7211416
931	0.7402335
932	0.7593652
933	0.7784412
934	0.7973534
935	0.8159848
936	0.8342097
937	0.8518949
938	0.8689013
939	0.8850861
940	0.9003049
941	0.9144149
942	0.9272778
943	0.9387625
944	0.9487491
945	0.9571316
946	0.9638208
947	0.9687469
948	0.9718618
949	0.9731398
950	0.9725784
951	0.970199
952	0.966045
953	0.9601812
954	0.9527376
955	0.9439246
956	0.9337646
957	0.9223717
958	0.9098701
959	0.8963835
960	0.8820422
961	0.86697
962	0.8512938
963	0.8351298
964	0.8185945
965	0.8017908
966	0.7848205
967	0.76777
968	0.7507244
969	0.733753
970	0.7169237
971	0.7002911
972	0.6839021
973	0.6678013
974	0.6520201
975	0.6365902
976	0.6215311
977	0.606864
978	0.5925991
979	0.5787487
980	0.565316
981	0.5523066
982	0.5397181
983	0.5275512
984	0.5157996
985	0.5044605
986	0.4935258
987	0.482987
988	0.4728376
989	0.4630663
990	0.4536655
991	0.4446232
992	0.4359311
993	0.4275771
994	0.4195523
995	0.4118449
996	0.404446
997	0.3973441
998	0.3905307
999	0.3839945
1000	0.3777276
