Wavelength (nm)	Transmittance
500	0.8829295
501	0.8851813
502	0.8875665
503	0.8900784
504	0.8927098
505	0.8954534
506	0.8983282
507	0.9013008
508	0.904363
509	0.9075061
510	0.910722
511	0.9140015
512	0.9173356
513	0.9207153
514	0.9241312
515	0.9275738
516	0.931005
517	0.9344441
518	0.9378818
519	0.9413087
520	0.9447151
521	0.9481192
522	0.9514832
523	0.9547978
524	0.9580536
525	0.9612414
526	0.9643284
527	0.9673315
528	0.9702426
529	0.9730537
530	0.9757571
531	0.9783457
532	0.9808126
533	0.9831512
534	0.9853557
535	0.9874204
536	0.9893545
537	0.9911368
538	0.9927633
539	0.9942305
540	0.9955352
541	0.9966672
542	0.9976353
543	0.998438
544	0.9990747
545	0.9995452
546	0.9998499
547	0.9999898
548	0.9999661
549	0.999781
550	0.9994368
551	0.9989363
552	0.9982828
553	0.9974801
554	0.9965323
555	0.9954437
556	0.9942193
557	0.992864
558	0.9913831
559	0.9897823
560	0.9880672
561	0.9862439
562	0.9843185
563	0.9822971
564	0.9801861
565	0.9779919
566	0.9757208
567	0.9733792
568	0.9709736
569	0.9685104
570	0.9659958
571	0.9634361
572	0.9608377
573	0.9582062
574	0.9555478
575	0.9528683
576	0.9501733
577	0.9474683
578	0.9447588
579	0.9420498
580	0.9393464
581	0.9366699
582	0.934008
583	0.9313649
584	0.9287449
585	0.9261518
586	0.9235746
587	0.9210328
588	0.9185297
589	0.9160686
590	0.9136529
591	0.9112853
592	0.9089688
593	0.906706
594	0.9044992
595	0.9023508
596	0.9002629
597	0.8982375
598	0.8962764
599	0.8943812
600	0.8925535
601	0.8908014
602	0.8891181
603	0.8875048
604	0.8859624
605	0.8844918
606	0.8830904
607	0.8817636
608	0.880512
609	0.879336
610	0.8782361
611	0.8772124
612	0.876264
613	0.8753908
614	0.8745929
615	0.8738702
616	0.873226
617	0.872658
618	0.872166
619	0.8717498
620	0.8714088
621	0.8711426
622	0.8709508
623	0.8708327
624	0.8707877
625	0.8708152
626	0.8709048
627	0.8710643
628	0.8712927
629	0.8715892
630	0.8719531
631	0.8723832
632	0.8728788
633	0.8734387
634	0.874062
635	0.8747475
636	0.8755092
637	0.8763319
638	0.8772143
639	0.8781552
640	0.8791534
641	0.8801901
642	0.8812806
643	0.8824235
644	0.8836173
645	0.8848608
646	0.8861716
647	0.8875298
648	0.888934
649	0.8903824
650	0.8918735
651	0.8933851
652	0.8949356
653	0.8965235
654	0.8981471
655	0.8998048
656	0.9014949
657	0.9032158
658	0.9049657
659	0.9067428
660	0.9085455
661	0.9103947
662	0.9122662
663	0.914158
664	0.9160683
665	0.9179952
666	0.9199138
667	0.9218454
668	0.923788
669	0.9257398
670	0.927699
671	0.9296637
672	0.931632
673	0.9336022
674	0.9355723
675	0.9375406
676	0.9395051
677	0.9414642
678	0.9434158
679	0.9453584
680	0.94729
681	0.9492301
682	0.9511554
683	0.9530639
684	0.9549539
685	0.9568237
686	0.9586515
687	0.9604562
688	0.9622364
689	0.9639904
690	0.9657166
691	0.9674135
692	0.9690797
693	0.9707137
694	0.9723141
695	0.9738795
696	0.9754087
697	0.9769003
698	0.9783531
699	0.9797661
700	0.9811379
701	0.9824676
702	0.9837541
703	0.9849965
704	0.9861937
705	0.987345
706	0.9884495
707	0.9895065
708	0.9905153
709	0.9914751
710	0.9923855
711	0.9932459
712	0.9940558
713	0.9948148
714	0.9955225
715	0.9961787
716	0.9967831
717	0.9973355
718	0.9978358
719	0.9982839
720	0.9986798
721	0.9990252
722	0.9993179
723	0.9995581
724	0.9997461
725	0.9998821
726	0.9999665
727	0.9999995
728	0.9999815
729	0.9999131
730	0.9997947
731	0.9996279
732	0.9994126
733	0.9991496
734	0.9988395
735	0.998483
736	0.9980808
737	0.9976336
738	0.9971424
739	0.9966078
740	0.9960308
741	0.9954122
742	0.9947529
743	0.9940539
744	0.9933161
745	0.9925405
746	0.991728
747	0.9908797
748	0.9899967
749	0.9890799
750	0.9881303
751	0.9871491
752	0.9861374
753	0.9850961
754	0.9840264
755	0.9829293
756	0.981806
757	0.9806576
758	0.9794851
759	0.9782896
760	0.9770722
761	0.9758396
762	0.9745874
763	0.9733166
764	0.9720283
765	0.9707236
766	0.9694035
767	0.968069
768	0.9667211
769	0.9653609
770	0.9639893
771	0.9626014
772	0.9612041
773	0.9597983
774	0.9583851
775	0.9569654
776	0.9555399
777	0.9541098
778	0.9526759
779	0.951239
780	0.9498001
781	0.9483599
782	0.9469194
783	0.9454793
784	0.9440404
785	0.9426035
786	0.9411694
787	0.9397388
788	0.9383124
789	0.9368909
790	0.935475
791	0.9340655
792	0.9326628
793	0.9312677
794	0.9298808
795	0.9285026
796	0.9271338
797	0.9257749
798	0.9244265
799	0.9230891
800	0.9217631
801	0.9204492
802	0.9191477
803	0.9178591
804	0.9165839
805	0.9153225
806	0.9140753
807	0.9128427
808	0.9116251
809	0.9104228
810	0.9092361
811	0.9080688
812	0.9069176
813	0.9057827
814	0.9046646
815	0.9035635
816	0.9024796
817	0.9014131
818	0.9003645
819	0.8993337
820	0.8983212
821	0.897325
