Wavelength (nm)	Transmittance
200	0.8839874
201	0.9140931
202	0.9454226
203	0.9731646
204	0.9925272
205	0.9999722
206	0.9943151
207	0.9770564
208	0.9517424
209	0.9227715
210	0.8942881
211	0.8668453
212	0.847518
213	0.8379405
214	0.8386137
215	0.8491717
216	0.8681427
217	0.8936991
218	0.9229869
219	0.9522775
220	0.9773285
221	0.99403
222	0.9999986
223	0.9945072
224	0.9789331
225	0.9562371
226	0.9302658
227	0.9042882
228	0.8810856
229	0.8626385
230	0.8501794
231	0.8443286
232	0.8450953
233	0.8522552
234	0.8652401
235	0.8831241
236	0.9043859
237	0.9275063
238	0.9504782
239	0.9711041
240	0.9872561
241	0.9971481
242	0.9999491
243	0.9955325
244	0.9846371
245	0.9686789
246	0.9495128
247	0.9289588
248	0.9087186
249	0.8902038
250	0.8744875
251	0.8623887
252	0.8542246
253	0.8502257
254	0.8504372
255	0.8547463
256	0.8628174
257	0.8742854
258	0.8886066
259	0.9050826
260	0.922861
261	0.9408927
262	0.9581664
263	0.9735868
264	0.9861292
265	0.9949429
266	0.999435
267	0.9994421
268	0.9950812
269	0.9867938
270	0.9752762
271	0.9614319
272	0.9461395
273	0.9302901
274	0.9146941
275	0.9000448
276	0.8869753
277	0.8758155
278	0.8668721
279	0.8603485
280	0.8563613
281	0.8549515
282	0.8560946
283	0.8597076
284	0.8656512
285	0.873731
286	0.8836047
287	0.895037
288	0.9076696
289	0.9210903
290	0.9348392
291	0.9484201
292	0.9613187
293	0.9730257
294	0.9830648
295	0.9910235
296	0.9965471
297	0.9995004
298	0.9998027
299	0.9975001
300	0.9927577
301	0.9858424
302	0.9770992
303	0.9669234
304	0.9557344
305	0.9439511
306	0.9320145
307	0.9202435
308	0.9089564
309	0.8984251
310	0.8888746
311	0.8805079
312	0.8734278
313	0.8677338
314	0.8634923
315	0.8607404
316	0.8594898
317	0.8597291
318	0.8614256
319	0.8645271
320	0.868962
321	0.8746067
322	0.881377
323	0.8891464
324	0.8977697
325	0.9070831
326	0.9168586
327	0.9269458
328	0.9371374
329	0.947217
330	0.9569637
331	0.966158
332	0.9745882
333	0.9820573
334	0.9883912
335	0.993444
336	0.9970913
337	0.999287
338	0.9999997
339	0.999239
340	0.9970539
341	0.9935292
342	0.9887807
343	0.9829492
344	0.9761941
345	0.9686864
346	0.9606029
347	0.9521198
348	0.9434085
349	0.9346314
350	0.9259386
351	0.9174998
352	0.9093999
353	0.9017444
354	0.8946237
355	0.8881143
356	0.882279
357	0.8771679
358	0.8728199
359	0.8692633
360	0.8665168
361	0.8645908
362	0.8634875
363	0.8632019
364	0.8637226
365	0.8650318
366	0.8670857
367	0.8698681
368	0.8733444
369	0.8774745
370	0.882213
371	0.8875091
372	0.8933065
373	0.8995441
374	0.9061555
375	0.9130694
376	0.9201693
377	0.9274162
378	0.9347287
379	0.9420228
380	0.9492132
381	0.9562147
382	0.9629425
383	0.9693144
384	0.9752518
385	0.9806815
386	0.9855365
387	0.9897582
388	0.9932965
389	0.9961119
390	0.9981756
391	0.9994699
392	0.9999887
393	0.9997373
394	0.9987321
395	0.9969994
396	0.9945754
397	0.9915042
398	0.987837
399	0.983631
400	0.9789474
401	0.9738768
402	0.9684621
403	0.9627689
404	0.9568622
405	0.9508059
406	0.9446615
407	0.9384878
408	0.9323403
409	0.9262707
410	0.9203269
411	0.9145529
412	0.908988
413	0.903668
414	0.8986245
415	0.8938853
416	0.8894745
417	0.8854127
418	0.8817171
419	0.8784019
420	0.8754785
421	0.8729554
422	0.870839
423	0.8691329
424	0.867839
425	0.866957
426	0.8664779
427	0.8664002
428	0.8667183
429	0.8674255
430	0.8685132
431	0.8699717
432	0.8717897
433	0.8739548
434	0.8764531
435	0.8792693
436	0.8824138
437	0.8858452
438	0.8895443
439	0.8934905
440	0.8976621
441	0.9019714
442	0.9064562
443	0.9110923
444	0.915855
445	0.9207182
446	0.9256899
447	0.9307081
448	0.9357443
449	0.94077
450	0.945756
451	0.9506736
452	0.9554941
453	0.960189
454	0.9647306
455	0.969092
456	0.9732473
457	0.9771719
458	0.9808428
459	0.9842387
460	0.9873401
461	0.9901129
462	0.9925632
463	0.9946784
464	0.9964486
465	0.997866
466	0.9989313
467	0.9996316
468	0.9999673
469	0.9999408
470	0.9995572
471	0.9988297
472	0.9977664
473	0.9963786
474	0.9946798
475	0.9926848
476	0.9904099
477	0.9878727
478	0.9850922
479	0.9820875
480	0.9788789
481	0.975487
482	0.9719328
483	0.968237
484	0.9644206
485	0.9605042
486	0.9565082
487	0.9524524
488	0.948356
489	0.9442376
490	0.9401152
491	0.9360057
492	0.9319255
493	0.9278902
494	0.9239137
495	0.92001
496	0.9161916
497	0.9124705
498	0.9088574
499	0.9053623
500	0.9019946
501	0.8987769
502	0.8957
503	0.8927707
504	0.8899948
505	0.8873776
506	0.8849151
507	0.8826224
508	0.8805028
509	0.8785593
510	0.876794
511	0.8752087
512	0.8738047
513	0.8725829
514	0.8715435
515	0.8706866
516	0.8700074
517	0.8695069
518	0.8691838
519	0.8690369
520	0.8690643
521	0.8692743
522	0.8696566
523	0.8702083
524	0.8709266
525	0.871808
526	0.872833
527	0.8740118
528	0.8753406
529	0.8768151
530	0.878431
531	0.8801836
532	0.882068
533	0.8840793
534	0.8862122
535	0.8884612
536	0.8908453
537	0.8933351
538	0.8959245
539	0.8986071
540	0.9013761
541	0.9041976
542	0.9070913
543	0.9100501
544	0.9130669
545	0.9161347
546	0.9192459
547	0.9223932
548	0.9255689
549	0.9287656
550	0.9319753
551	0.9351905
552	0.9384034
553	0.941606
554	0.9447907
555	0.9479498
556	0.9510752
557	0.9541599
558	0.957196
559	0.9601762
560	0.9630932
561	0.9659399
562	0.9687094
563	0.9713951
564	0.9739906
565	0.9764896
566	0.9788863
567	0.981175
568	0.9833506
569	0.9854081
570	0.9873429
571	0.989151
572	0.9908283
573	0.9923718
574	0.9937783
575	0.9950454
576	0.9961708
577	0.9971528
578	0.9979903
579	0.9986824
580	0.9992287
581	0.9996265
582	0.9998813
583	0.9999938
584	0.9999652
585	0.9997971
586	0.9994884
587	0.9990422
588	0.9984613
589	0.9977485
590	0.9969072
591	0.9959409
592	0.9948535
593	0.9936491
594	0.9923319
595	0.9909064
596	0.9893773
597	0.9877493
598	0.9860275
599	0.9842168
600	0.9823224
601	0.9803643
602	0.9783339
603	0.9762364
604	0.9740767
605	0.97186
606	0.9695749
607	0.9672427
608	0.9648685
609	0.9624574
610	0.9600145
611	0.9575621
612	0.9550878
613	0.9525962
614	0.9500918
615	0.9475791
616	0.9450451
617	0.9425115
618	0.9399824
619	0.937462
620	0.9349539
621	0.9324618
622	0.9299894
623	0.9275401
624	0.9251172
625	0.9227237
626	0.920377
627	0.9180647
628	0.9157895
629	0.9135538
630	0.9113602
631	0.9092106
632	0.9071074
633	0.9050524
634	0.9030476
635	0.9010945
636	0.8991855
637	0.8973326
638	0.8955373
639	0.8938007
640	0.8921241
641	0.890515
642	0.8889667
643	0.8874802
644	0.8860563
645	0.8846956
646	0.8833955
647	0.882161
648	0.8809926
649	0.8798908
